label	text_a
卓文君	《卓文君》是1984年上映的中国电影，由王亨里导演。
As long as you love me	Justin Bieber于2012年6月发行专辑《BELIEVE》，《As long as you love me》为其中一首歌。
陈思慧	陈思慧，广西柳州人，中国国家艺术体操队运动员。
Cherry	Cherry是一个演员角色，出自于当旧毛衣遇上旧围巾。
现代诗歌	现代诗歌是指“五四运动”至中华人民共和国成立以来的诗歌。
郑伟	郑伟，铜陵学院法政系教授。
寡妇年	寡妇年，又名滑头年。
母女情深	最后，喜欢这个题目：母女情深。
莫高窟	刚下火车站就扛着大包小包来到莫高窟，遇见了一个从加拿大留学回来的父子，人特别好，买完票，然后到检票口等导游凑够一拨人就进去参观，不是所有景点都开放哦~导游说我们很幸运，带我们参观的景点都是经典的景点（我就当真的听啊），感觉性价比很高，推荐！强烈推荐！。
张敏	张敏，1968年2月7日出生于上海，香港亚洲电视演员。
崂山	以前来过一次，这次全家一起出游，一天时间崂山的两条线路都去了。
峨眉山博物馆	我一向都是对博物馆比较感冒的，来峨嵋山当然也不能错过，第一来的时候就已经来到 峨眉山博物馆 参观过了，它在 报国寺 旁边，位置很好找，来的人也不是很多，可以慢慢地仔细看看峨嵋的历史文化和风土人情，展馆面积还挺大，而且运用现代科技的效果也是让人很受用。
辉夜姬物语	貌似这两年每次从北京回家后看的第一部电影都选择了动画片？！……这次便是期待已久的《辉夜姬物语》！……韵味十足的画风，奇幻曼妙的故事，虽然都有些不足之处，但看着却十分喜欢！……不是高田勋最棒的作品，但想强烈推荐！……辉夜公主真是孝顺，为了让父亲高兴的所作所为，是我所远不能及的！。
黄鹤楼	景区不算大，黄鹤楼的五楼望下去景色还不错，门票太贵，80一张，携程订的75，性价比一般。
韩朝南北谍战	韩朝南北谍战，朝鲜权力更换的政治斗争，在德国柏林的演绎...此片高投资，制作精良，动作场面高水准，剪辑快而流畅，已经做出了世界级大片水准，令人过足了眼瘾，不得不令人叹服，但是剧本过于流俗，线索杂乱，而且很多细节明显有模仿的印记，故事给人《谍影重重》的感觉，就是看过一遍图个爽快...。
巴黎歌剧院	在 巴黎歌剧院 旁边居住的话就给大家推荐 巴黎 洲际，因为挨着歌剧院，全天都可以看到穿着华贵礼服的演员和相应的一系列人员进出，但是没认识的，也不太关注，我们不好这个。
喜洲	不如自己去逛旁边有人住，有生活气息的生动的 喜洲 。
水仙	《水仙》是由王麟演唱的一首歌，出自《幸福的味道》。
李晓霞	李晓霞，长期从事新疆民族、社会的调查研究工作，研究涉及教育、文化、就业、家庭婚姻、女性地位、民族关系等多个领域，在新疆城镇、农村进行过多次社会调查。
周红军	周红军，男，1975年出生，博士，副教授。
亚龙湾	如果到  三亚  是拖家带口休闲游的话，  亚龙湾  无疑是最好的选择。
榆林窟	到达榆林窟景区后，即使没有进入到窟内也觉得来的值了，景区外观就很不错。
金坑梯田	七星伴月 小巧精致， 金坑梯田 大气壮观，一进去寨口就会被梯田震撼到，而且现在有缆车了，方便不想爬山和老人小孩游览，已经去了5次了，还是很喜欢，有空一定要在山上住一晚，太美了！。
世界之窗	之前就听说世界之窗了，就一直要去看看，怎么说呢，总体给4.5分，景色不错，但是景点的路标不是特别清楚，游览图也不是很清晰，一定要多问，总的来说工作人员很热情。
采石矶	  采石矶  以为是一块石头，结果愣是没找到，想想可能是整个景点的概括吧。
歌剧魅影	《歌剧魅影》是勒鲁于1911年发表的这部介于侦探小说和荒诞小说间的作品，从一个记者的角度，讲述了发生在宏伟壮丽的巴黎歌剧院的一个“鬼故事”。
上尉	上尉，一些国家军队中尉级军官的军衔称号。
八云蓝	八云蓝（やくも  らん，Yakumo  Ran）是系列作品《东方Project》中的角色，于《东方妖妖梦》首次登场。
王焱楠	2010年9月，一则不雅视频被公开于互联网上，视频女主角是广东阳西电视台女主播王焱楠。
上清宫	位于洛 阳城 北邙山翠云峰, 上清宫 两边苍翠的树木和艳丽的花卉配上它的建筑，感觉就像来到 世外桃源 。
红豆峡	红豆峡是包含在太行山大峡谷景区125元的门票中，所以无需另外购买。
虎丘	虎丘闻名自然是因其斜塔和剑池，但在苏州这样人文的环境中，这些又着实算不得太亮眼。
APC的经济学	APC的经济学定义是平均消费倾向 (average propensity to consume)。
缘木求鱼	缘木求鱼：缘木，爬树。
六道	六道又作六趣。
萨博	萨博是日本动漫《海贼王》中的人物。
郭凯敏	郭凯敏，1958出生于长春，原籍四川成都，影视演员，北京电影学院毕业，北京唐德凤凰演艺经纪有限公司签约艺人，中国煤矿文工团副团长。
王琦	王琦是济南大学教授  。
太阳花	太阳花（拉丁学名：Portulaca grandiflora），又称松叶牡丹、半枝莲，马齿苋科马齿苋属多年生花卉，常作一年生栽培。
张呈栋	张呈栋，1989年2月9日出生，河北保定人，司职前锋，现效力于北京国安足球俱乐部。
望湖园别墅	住的穹窿山顶望湖园别墅，很棒。
村夫烤鱼	村夫烤鱼，麻辣味很想，吃到花椒就很麻，所以不喜欢吃麻的可以不要放，烤鲶鱼比较好吃，脂肪比较多，鲶鱼肉比较鲜美，刺少比别的鱼类少，最重要的还是比较便宜，烤条三斤的吃下来都很撑了。
魔方	魔方，男，汉族，话剧导演，代表作品有《黑洞》、《流行色》（哑剧）、《女大学生圆舞曲》、《广告》。
双塔山	双塔山，属于丹霞地貌，有险峻的山峰，也有潺潺的流水，风景奇、险、美。
圆明园	看圆明园一定要看介绍，一定要了解那段历史。
双恋	双恋，为日本动漫故事片。
剑河	剑河（River Cam）是当地一条环城河流，这条曲折蜿蜒的小河，两岸杨柳垂丝、芳草萋萋，河上架设着许多设计精巧、造型美观的桥梁，其中以数学桥、格蕾桥和叹息桥最为著名。
杀生	《杀生》改编自陈铁军的中篇小说《儿戏杀人》，是由管虎执导，黄渤、任达华、苏有朋、余男等联袂主演的荒诞悬疑喜剧。
彭紫烊	彭紫烊，1987年11月18日出生于陕西西安，祖籍江苏，毕业于中北英皇表演音乐专业，中国内地女演员。
五公祠	另外五公祠里有个海南第一楼，曾经是海口第一高楼，也值得来参观一下。
王怡	王怡，男，北京大学肿瘤医院主任医师，1970年毕业于中国协和医科大学。
厦门大学	厦门大学  的环境那是没得说，不愧是  中国  最美的大学，侧门外就是南普陀，正门外正对着  白城  沙滩，学校附近还有很多的小资餐馆和咖啡店，作为《一起去看流星雨》的拍摄地更是吸引了更多的游客。
圣殿教堂	因为我们只离那里有几个街区远，所以当我们即将结束一天旅游行程时，我的妻子建议去圣殿教堂。
绝对	绝对是2011年的年度佳片，导演拍摄手法令人感觉很沉稳，所以后半部分的暴力发泄才更显得血腥冷酷，瑞恩·高斯林依然演技不俗，配上演技同样不俗的凯瑞·穆里根，电影加分不少，特别是音响效果制作细致而逼真，甚至成为剧情的一部分，电影的配乐也很出色，2011年的两部优秀的电影《亡命驾驶》和《总统杀。
将军令	《将军令》根据同名小说改编。
国家图书馆	新翻修的  国家图书馆  还是相当气派的，馆藏更是丰富，而且查询借阅更便捷。
Alice	《Alice》自2007年9月出版以来，以hansey独特的设计风格受到了广大读者的追捧。
鹅妈妈童谣的创作方法	鹅妈妈童谣的创作方法是其他国家传到英国的。
我的世界	《我的世界》是歌手王思思的专辑《花心思》中的一首歌曲，发行于2008年3月8日。
ef	ef为瑞典乐队，以post-rock为风格。
茶胶寺	茶胶寺没有精致的装修，设计简单，与其他寺庙有很大的区别。
关云长	《关云长》是曾经艺也演唱的一首歌曲，收录在同名专辑《关云长》当中。
清明上河图	《清明上河图》是 河南大学出版社出版的一本图书。
甜蜜蜜	《甜蜜蜜》专辑名称。
夏天	夏天是许嵩、依依演唱的一首歌曲，歌声透着淡淡的感伤，夹杂着深深的思恋，无华丽的旋律，但是缓缓的歌声中透出淡淡的深情。
密歇根州	密歇根州是美国的一个州，位于五大湖地区。
五莲山	五莲山风景名胜区属温带半湿润海洋性气候，平均气温12.6℃，冬暖夏凉，气候宜人，雨量充沛。
弘福寺	下山去弘福寺，沿途树木蓊郁，落叶满阶，青松高耸，枫叶如丹，感觉秋意正浓。
电影	中国电影名，上海电影制片厂摄制于1982年，取材于周涛长诗《剑歌》。
小泉纯一郎	小泉纯一郎（1942年1月8日－），日本政治家，曾任第87—89任日本内阁总理大臣，前日本众议院议员。
鼓浪屿	鼓浪屿是一个让太多的人情迷的地方，是悠闲、独自发呆的圣地。
中山陵	高高的台阶 漂亮的琉璃瓦 要爬一会才能到孙先生安眠的地方 因为是几年前去的了，不记得坐的是几路公交车可以直接到口门售票处 人很多 都会照像貌似还有几个鼎 周围空气很好，风景很优美，紫金山上 貌似去 南京 ，一般都在 中山陵 、长江大桥上留影，才证明去过南京。
烟台	我觉得是有机会可以去烟台看一下的，小时候苹果有那种烟台富士，很好吃，临海的城市，海水水质一般，在中国 来说还算可以了，海鲜比较便宜的，可以去尝尝，带回来点，感觉还不错，景点倒是没啥特别大吸引的，主要吃海鲜。
巫山云雨	《巫山云雨》是由章明执导，李冰主演的一部影片。
吉濑美智子	吉濑美智子，1975年2月17日出生于日本福冈县朝仓郡杷木町，演员、模特，隶属于FLaMme经纪公司。
建筑施工企业关键技术岗位八大员	建筑施工企业关键技术岗位八大员： 施工员、质量员、安全员、标准员、材料员、机械员、劳务员、资料员。
爱经	《爱经》是古印度一本关于性爱的经典书籍，相传是由一位独身的学者所作，时间大概在1世纪和6世纪之间，很可能在印度文艺复兴的笈多王朝时期。
刘敏	刘敏，1985年出生于山东省济南市，毕业于中国传媒大学播音与主持专业，现为贵州卫视节目主持人，多语种主持人，先后担任《知行健康汇》、《就爱美人街》、《锦医玉食》、《CRI有约》等栏目主持人。
女王宫	女王宫的墙壁、立柱、门楣等建筑表面几乎完全被浮雕覆盖，没有一点空隙。
冠状沟	冠状沟，阴茎颈的俗称，是男性阴茎龟头下缘的一圈沟状构造。
南伊沟	南伊沟门票210元，无需边防证，进沟在入口小房子警察哥哥那押身份证，安全。
宪法	宪法（constitution）是一个国家的根本大法，适用于国家全体公民，是特定社会政治经济和思想文化条件综合作用的产物，集中反映各种政治力量的实际对比关系，确认革命胜利成果和现实的民主政治，规定国家的根本任务和根本制度，即社会制度、国家制度的原则和国家政权的组织以及公民的基本权利义务等内容。
外滩	外滩的视野很开阔，沿路的万国建筑很有特色。
吴碧丽	吴碧丽，女，江苏卫视《非诚勿扰》节目嘉宾，因为参加这个节目而在网络上走红。
真的真的喜欢你	《真的真的喜欢你》是韩国MBC电视台于2006年4月8日播出的爱情喜剧，由金镇万执导，斐愚美编剧，柳真、李民基、柳镇主演。
九顶塔民俗风景园	九顶塔民俗风景园里有很多少数民族表演  精彩极了  推荐。
赵丽华	赵丽华，女，汉族  ，1960年6月3日生人。
朱丽叶·比诺什	朱丽叶·比诺什（Juliette  Binoche），1964年3月9日出生于法国巴黎，著名电影演员，欧洲影坛殿堂级影星。
连岛	环绕连岛的是湛蓝的大海，穿行于青山林阴 之下，举首远眺苍茫大海，平日劳顿身心豁然舒畅，愉悦情怀由衷而生。
皇帝岛	吃完饭下了一场大雨，有那种类似于拖拉机的拉我们去皇帝岛的那个沙滩上玩，沙滩沙子特别细，冲上来好多珊瑚。
大湾	门口的超市手推车还是投币的，各位自行准备5元硬币，自我感觉大湾比路易港的环境要好，很干净，。
DS	DS全称Nintendo  Dual  Screen（NDS），截止到2009年3月6日NDS全球销量过亿，超越PS2成为世界最快达成一亿销售量的主机。
倚天屠龙记	1984年版《倚天屠龙记》由台湾电视公司出品，陈明华执导，刘德凯、刘玉璞、喻可欣、刘尚谦、黄香莲等人主演。
蟹道乐	最有名的蟹道乐“大螃蟹招牌”是  道顿堀  美食街的标志，一定要尝尝这家的美味。
陈秋萍	陈秋萍，女，1964年出生，1987年毕业于电大党政管理专业，1989年继续参加浙江水产学院养殖系进修，1993年浙江省妇女代表大会代表，1996年被评为温州市专业技术拔尖人才，历任洞头县委政协委员、水产局副局长、县科协副主席、海洋与渔业局纪委书记、浙江省十次党代会代表、洞头县七次党代会代表、七届人大代表，2003年调任龙湾区海洋渔业管理科长，2004年完成浙江党校行政管理专业本科学业。
50美分	50美分（50 Cent），1975年7月6日出生于美国纽约皇后区，美国说唱歌手、演员、投资商。
大卫·科波菲尔	《大卫·科波菲尔》是根据狄更斯名著改编的一流文学电影，由乔治·库克导演，具有英国贵族气质的十一岁童星弗莱迪·巴索罗米饰演主人翁大卫·克波菲尔。
玉簪	玉簪[zān]，学名：Hosta  plantaginea  （Lam.）Aschers，又名白萼、白鹤仙。
阳朔	阳朔美景天下第一我绝对相信！泛舟在绿水青山的漓江上悠然自得！记得给船夫小费。
楠溪江	很是担心秋天的楠溪江山水之色，但天气不错，景色很是迷人。
苍星石	苍星石，日本动漫作品《蔷薇少女》中的主要角色，蔷薇少女第四人偶，人工精灵是琅碧卡（Lempicka）。
计划男	那首计划男的歌很好听。
托帕石	托帕石的矿物名称为黄玉或黄晶，英文称Topaz。
青海湖	远远看到青海湖的颜色，已觉得很美。
大唐不夜城	大唐不夜城面积很大，其中中央雕塑景观步行街很值得一看，据说有1500米长。
圣山	就算反感《圣山》的估计也最低给3星。
天籁之音	《天籁之音》又译《打工声优》，《声音的那点事》本作原名为《こえでおしごと》，直译差不多是“用声音工作”，作者是绀野あずれ，原作从2008年7月起在WANI BOOKS漫画月刊《Comic Gum》上开始连载，单行本发行至第3卷，第7卷也即将于7月24日发售。
刘伟	刘伟副教授，研究生导师，欧美同学会会员。
天使湾	天使湾  紧邻  英国  人漫步大道，因形似天使的翅膀而得名，湾内海水平静清澈，海滩上遍布圆圆的鹅卵石。
罗斯科·庞德	罗斯科·庞德（Roscoe Pound，1870年--1964年）是美国20世纪著名法学家。
华特·迪士尼	华特·迪士尼 (也叫做沃尔特·迪斯尼）（Walt Disney，全名：Walter Elias Disney 1901年12月5日—1966年12月15日）美国著名动画大师、企业家、导演、制片人、编剧、配音演员、卡通设计者，举世闻名的迪士尼公司创始人。
小侠龙旋风	《小侠龙旋风》是1990年由邓育庆执导，吴奇隆、陈志朋、顾冠忠、朱宝意等主演的经典武侠科幻剧。
聚乙烯醇	聚乙烯醇，有机化合物，白色片状、絮状或粉末状固体，无味。
一双绣花鞋	《一双绣花鞋》是由徐庆东执导，孙俪、连奕名、钱勇夫、张潮、谢娜、韩童生、赵雪莲等主演的反特题材电视剧。
大皇宫	大皇宫是仿照故都  大城  的旧皇宫建造的经历代君王不断扩建终于建成现在这座规模宏大的大皇宫建筑群。
植物园	花园城市怎能少了 植物园 ，里面的植被保护相当好，如果不下雨来，会感受清新的植物芳香。
世界公园	世界公园位于北京市丰台区花乡大葆台，距市中心16公里，距北京西客站8公里，紧邻北京花乡森林公园。
SPEED	SPEED是日本流行音乐史上，以平均年龄12.5岁出道的年轻少女组合。
92式手枪	92式手枪是为了代替原装备的54式手枪而研制的。
两女一杯	两女一杯（2  Girls  1  Cup）是巴西色情影片《Hungry  Bitches》的预告片，由MFX  Media发行。
能取岬	作为电影最后阶段的舞台---“能取岬”，缓缓伸向海面的岬，绿色的草原与黑白两色的灯塔相映成趣，突出部分为悬崖峭壁，放眼望去，海天一色，景色壮丽非凡。
山房山	山房山下的海滩一定要看，买套票的话会比较便宜，一共2500元。
QQ开放平台	"2011年5月16日，腾讯通过官方网站正式推出&amp;#39;QQ开放平台Q+&amp;quot;"。
惊天魔盗团	"看了本届电影节最后一部电影,闭幕影片&lt;惊天魔盗团&gt;~卡司阵容很强悍,老中青演员全涵盖,故事讲述得非常有趣.虽然结局有点不太喜欢,但过程真的是实打实的过瘾,非常有质素的娱乐佳作!几个魔术场面真的让人叹为观止,想象力啊,真的很重要.斗智,对决,反转,一切都显得那么恰如其分,完美商业片,预计内地8月上映~"。
红尘	《红尘》是香港著名女作家亦舒创作的一部长篇小说。
桃花岛	桃花岛景区位于县城西南20公里的徐家庄乡，面积10平方公里，是沂河的发源地之一。
莫高窟	莫高窟  的数字中心很不错，比很多大影院的设备都要好，两个电影40多分钟看得意犹未尽。
故宫	故宫的主要看点还是那三大殿，后宫基本都是大门紧闭，隔着窗户过过瘾...  还有，值得推荐的钟表馆，个人觉得一样去了故宫就一定要去看看。
大连	夏天去大连避暑是个不错的选择，准备T恤衫、短袖衬衫、短裤、裙子、凉鞋、太阳帽、太阳镜等就好。
王晰	王晰，本名王欣，1985年4月9日出生于辽宁省营口市，中国内地流行乐男低音歌手，中国人民解放军海军政治部文工团青年歌唱家、中国音乐家协会会员。
海幢寺	海幢寺之前是海幢公园，后面改造成这样，没有了游乐设施，但加强了绿化，里面很多大树都是参天古树，还有一棵鹰爪兰有几百年历史，传闻“先有鹰爪，后有海幢”，这里环境很好，每天很多老人家或小朋友会来这里休憩玩耍。
李玫瑾	李玫瑾，女，1958年出生，毕业于中国人民大学，现为中国人民公安大学教授，研究生导师。
硝酸铵	硝酸铵（NH4NO3）是一种铵盐，呈无色无臭的透明晶体或呈白色的晶体，极易溶于水，易吸湿结块，溶解时吸收大量热。
佛本是道	《佛本是道》是连载于起点中文网的一部仙侠奇幻小说，作者是梦入神机。
东京食尸鬼√A	《东京食尸鬼√A》是根据石田翠的漫画《东京食尸鬼》改编的电视动画第2期。
当你老了	《当你老了》是威廉·巴特勒·叶芝于1893年创作的一首诗歌，是叶芝献给女友毛特·冈妮热烈而真挚的爱情诗篇。
蒋方婷	蒋方婷，1989年7月19日出生北京，毕业于中央戏剧学院，中国大陆女演员。
咒乐园	《咒乐园》是由香港导演刘伟强所导演，陈文媛、惠英红等主演的一部香港恐怖电影。
卫立煌	卫立煌（1897年2月16日～1960年1月17日），字俊如，又字辉珊，安徽省肥东县人，中华民国高级将领，国军陆军二级上将军衔，是蒋介石的“五虎上将”中的“虎将”。
流氓	我只是个喜欢这些东西的门外汉，我只知什么东西我喜欢或者不喜欢，《流氓》我喜欢。
黄勇	黄勇，重庆市中山医院呼吸内科主任，重庆市医学会结核专委会委员、生理科学会危重症专委会委员、中西医结合学会呼吸专委会和危重症专委会委员。
巩俐	巩俐（Gong  Li），电影演员，联合国促进和平艺术家，联合国全球环境保护大使。
乌布皇宫金	乌布皇宫金好像交通稍微远一点，下车要走十几分钟才到。
金紫荆广场	金紫荆广场挺乱的，广场上有个金色紫荆花的雕塑，广场周围围绕的是一些类似于面包车的宣传车，不停的播放着法轮功的宣传，还有很多的宣传海报，让人很不舒服。
同名小说	本片改编自美国作家菲茨杰拉德的同名小说。
哈素海	今年新开发的哈素海跟以前的不一样。
岭南印象园	如果你想在最短的是了解岭南文化，那就去岭南印象园吧，浓缩的广东，地方不太大，走起来也不算累，吃吃喝喝东西也不算贵，交通还算方便，环境还不错。
影片	影片仿佛太极推手一般，缓缓而来，却暗含内劲，把我的一份心情狠狠朝感动推去。
会计学	会计学（Accounting）是以研究财务活动和成本资料的收集、分类、综合、分析和解释的基础上形成协助决策的信息系统，以有效地管理经济的一门应用学科，可以说它是社会学科的组成部分，也是一门重要的管理学科。
满意野生鱼馆	同行的友人介绍我们去满意野生鱼馆，菜的味道很，但我吃不鱼，点了些农家土菜，味道真心很好。
北京遇上西雅图	这《北京遇上西雅图》，除了算是某种程度上反应了一个众所周知的国情以外，既无独到观点，又是惯用的大团圆结局，最后无非是一场粗枝烂叶的爱情喜剧。
悲惨世界	小男孩，小女孩的演绎都很好！《悲惨世界》这是一首为法国民主自由的战歌。
白洁	白洁，女，满族，1962年3月生，北京人。
桂林	桂林市区好无聊，真正的好玩的地方都在阳朔，那个坑爹的象鼻山公园半小时就可以逛完，推荐在淘宝上买门票，可以便宜二十多。
日光岩	日光岩 真的很值得去，站在岩顶，可以俯瞰 鼓浪屿 全貌，平时错过的建筑一览无遗，绿色的树丛，红顶的建筑，很美。
熊猫大侠	熊猫大侠，亚比编号725，极品性格固执、开朗 ，推荐学习攻击和速度。
洁癖	洁癖是强迫症的一种，即把正常卫生范围内的事物认为是肮脏的，感到焦虑，强迫性地清洗、检查及排斥“不洁”之物。
情人墙	外滩的情人墙也是情侣合影的好地方。
蟑螂	多指蟑螂，据说最早把蟑螂叫小强是在广东香港地区，“小强”这个别名源于周星驰的电影。
太山寺	太山寺内的建筑大多有一定的年份，寺内的师傅也比较热情，会招呼游客喝水，休息，还有这里烧香是免费的。
香水	对香水、汉尼拔这类精致文艺的犯罪欲罢不能。
黑夜传说5	《黑夜传说5》是《黑夜传说》系列电影，由安娜·福斯特执导，凯特·贝金赛尔、提奥·詹姆斯等主演。
黑眼镜	黑眼镜为南派三叔笔下的人物，在《盗墓笔记：蛇沼鬼城》与《沙海》中均有出场。
月坨岛	小岛很幽静，适合一个人在海边发呆，海边有沙雕，多以爱情为主题，岛上小木屋不推荐，条件差，拍照还不错，湿地公园的红滩不够红，目前月坨岛还在建设中，海边建了很多木屋别墅，正在安装空调，估计过段时间去就可以入住了，整体景色还行，海边竖立着月亮女神的雕塑。
丽莎·玛丽·普雷斯利	丽莎·玛丽·普雷斯利（Lisa Marie Presley），1968年2月1日在田纳西州孟菲斯市出生，美国摇滚歌手、词曲作家。
瘦西湖	瘦西湖风景优美，山青湖秀，鸟语花香。
龙樱	《龙樱  》是柳贤基执导，金秀路等主演的电视剧。
世界之窗	世界之窗是一个缩微景观公园，园内亚洲、非洲、美洲、欧洲、大洋洲等你著名景观都有缩微模型展示。
副本	“副本”的概念最初是在著名网游“无尽的任务”中出现的，简称“FB”。
王欣	王欣，男，汉族，江苏宜兴人，副教授，文学博士，现为外国语学院党委书记。
生化战场	《生化战场》由韩国Vertigo  Games开发，在韩国由Vertigo  Games发行，2011年1月24日至2015年3月31日在中国大陆由腾讯公司运营。
孟瑶	孟瑶，1985年6月13日出生于山西大同，中国女演员，毕业于北京舞蹈学院。
坝美村	自坝美村的桃源洞到法利村的汤那洞大约3KM左右。
沙美岛	沙美岛  的确很美，没有芭堤雅的繁华及喧闹，但是安静之中又不乏趣味。
颐和园	  颐和园  景色太美了，逛了半天都没有把全部景点看过来，后来实在太累了，只能放弃一部分景点回家。
云水谣	以画面和导演的用心程度来说，《云水谣》不是一部烂片。
身份证查询	身份证查询也称为身份证信息核查，是依托“全国公民身份证号码查询服务中心”14亿人口数据的“全国公民身份信息系统”，具有数据来源权威、真实、完整以及公信度高等特性。
九曲十八弯	九曲十八弯主要由多个小河湾组成，不及龙江第一湾壮观，而且观景台不够高，很大一部分视线被树挡住=  =。
无人驾驶	无人驾驶是泳儿演唱的歌曲，黄仲凯、吴向飞填词。
三皇寨	三皇寨坐落在少室山上，从少林寺景区入内，一路爬梯子沟，过悬空栈道，途中植被茂盛，风景优美，奇石各异，真是会感慨大自然的鬼斧神工，吊桥下是百米深沟，少室山风景给我的是震撼。
李志奇	李志奇，（1964年11月8日－）台湾男艺人，祖籍河北雄县。
上海空姐门	上海空姐门，也称空姐门，是指2009年7月流传于网络的空姐展示制服的不雅照片事件。
重生	"歌曲《重生》是《梦幻诛仙》与小旭音乐团队合作推出的又一首游戏歌曲，作为资料片《巨龙觉醒》的主题歌，歌曲采用了中国风结合R&amp;amp;B的风格，旋律婉转悠扬，韵律十足，在资料片发布会现场这首歌也给玩家留下了难忘的印象，得到众多好评"。
杜甫草堂	我认为杜甫草堂应该作为一个传承历史文化基地，60的门票有点贵了，我还以为草堂里面应该会有很多展示关于杜甫脍炙人口的诗句，似乎也没有看到，环境倒也是不错，就是总感觉差了点什么。
金域海港	金域海港给人一种高大上的视觉效果，以海鲜为主。
西递	西递的名人故居确实比较多，对明清历史有兴趣的朋友可以跟着导游多听听他们的介绍。
刘芸	刘芸，女，汉族，1964年2月出生，安徽肥东人，安徽大学经济学硕士，安徽省委党校经济学专业研究生。
马埃岛	马埃岛 、 普拉兰岛 上虽然有公交车，票价也很便宜，但间隔都在1小时左右。
鼓浪屿	由于历史的原因，鸦片战争之后，10几个欧美国家都曾在这个岛上设立过自己的领事馆，鼓浪屿上的建筑也因此有了各种中西融合的元素，素有万国建筑博览会的美誉。
鼓浪屿音乐厅	鼓浪屿音乐厅位于厦门市思明区晃岩路1号，是鼓浪屿的音乐殿堂，曾经举办过很多级别较高的大型音乐活动。
李纯	李纯，1988年2月15日出生于安徽芜湖，中国内地女演员，毕业于北京电影学院表演系2009级本科班。
张苞	张苞是东汉末年至三国时期之间的第二个为督邮的贪。
杭州	说句实在的，其实并非对景点有太多的点评，台风季节来趟 杭州 不容易，上的 雷峰塔 体会一把烟雨 西湖 的美妙，在一游未尽出得景点就被呀叔给敬礼拦下，高峰外地车辆禁行，很是郁闷！出入景点都没有显著标示且在道路两旁也没见有提示！。
IT狂人	《IT狂人》是由格拉汉姆·莱因汉、本·福勒执导，克里斯·奥多德、理查德·阿尤阿德、凯瑟琳.帕金森等主演的情景喜剧。
蜈支洲岛	蜈支洲岛在我的眼里是美丽的，纯洁的，那清澈的海水让人惊叹为之动容，几次先下水戏水，可都被告示提醒不能下水游泳，真是可惜，不过后来有好多人不管告示的警告还是下了水。
瘦西湖	作为扬州的标志性景点,来到扬州不来瘦西湖似乎有点说不过去，可真来到这里也没有感到传说中的那么不同，可能是我的眼光还没有上升到能欣赏古人诗中美景的地步吧。
HiPP	HiPP品牌宗旨：健康，优质，天然。
犹大	犹大（Judas），  《圣经》人物，耶稣十二门徒之末。
家族的荣誉	《家族的荣誉》，是一部反映现代家族企业发展历程的电视剧。
金巴兰	乌布皇宫 金巴兰 因美丽的落日已经渔人作业的特殊方式而出名。
杨洁	杨洁（1962~  2005）男,字如冰。
